timestamp,cpu_percent,memory_percent,disk_read_mbps,disk_write_mbps,network_in_mbps,network_out_mbps,requests_per_second,error_rate,p99_latency_ms,is_anomaly
2024-01-15T00:00:00Z,34.2795,54.4813,14.6661,9.4040,38.9793,7.5079,123.3232,0.008663,76.7456,0
2024-01-15T00:00:10Z,35.5976,89.7876,14.9766,8.9155,50.9966,9.9667,118.0917,0.002291,65.4717,1
2024-01-15T00:00:20Z,33.4750,56.4929,17.6202,7.5187,43.0128,12.7446,127.9396,0.004434,88.5238,0
2024-01-15T00:00:30Z,27.4819,94.5132,14.5081,4.4379,35.1676,7.6121,106.6932,0.003096,69.0583,1
2024-01-15T00:00:40Z,44.8620,54.4967,16.9607,6.5449,25.4812,13.6409,125.1205,0.013997,68.7807,0
2024-01-15T00:00:50Z,28.2705,58.8922,16.8473,6.5356,38.7239,9.6868,122.1544,0.016810,69.6542,0
2024-01-15T00:01:00Z,31.2614,59.6473,20.2314,9.2789,42.7465,9.1418,140.5710,0.014465,58.2305,0
2024-01-15T00:01:10Z,31.8684,48.8409,15.0301,7.3075,36.5270,15.1701,133.1205,0.001958,73.9701,0
2024-01-15T00:01:20Z,31.0432,53.6621,16.6368,7.9817,26.5783,12.2052,124.1674,0.007794,92.1434,0
2024-01-15T00:01:30Z,41.5403,52.0728,17.6751,6.5085,41.2140,5.2288,112.6807,0.008954,73.2994,0
2024-01-15T00:01:40Z,35.2290,49.9764,13.6577,9.4067,40.3519,12.2027,117.7994,0.002148,105.0191,0
2024-01-15T00:01:50Z,33.7114,58.4184,17.6057,9.2968,32.0129,12.9160,129.8231,0.016535,111.5660,0
2024-01-15T00:02:00Z,41.1099,53.1437,13.5424,8.0697,24.8502,18.6113,123.2819,0.006533,1805.1480,1
2024-01-15T00:02:10Z,41.6981,58.8070,14.4897,10.0667,48.3460,13.7028,118.7870,0.003273,76.4553,0
2024-01-15T00:02:20Z,92.5285,52.9785,13.2515,5.0630,30.3849,14.6547,105.8041,0.017656,69.1993,1
2024-01-15T00:02:30Z,36.4054,55.4273,17.0995,10.5481,44.8742,12.8595,142.4006,0.011219,75.5605,0
2024-01-15T00:02:40Z,33.5987,53.3555,19.7337,11.4600,31.8363,10.5348,124.8484,0.001137,82.4773,0
2024-01-15T00:02:50Z,37.4105,52.2005,16.5547,7.6078,28.1358,13.3589,120.5368,0.006274,87.8442,0
2024-01-15T00:03:00Z,35.3547,57.1450,12.0216,275.8698,38.9179,14.2381,130.6343,0.007491,92.2119,1
2024-01-15T00:03:10Z,30.5089,61.9301,13.6736,8.7010,36.0732,9.9279,121.7302,0.008587,83.0374,0
2024-01-15T00:03:20Z,39.2722,55.0011,15.7022,5.8467,22.2131,15.5045,133.8972,0.009817,78.2845,0
2024-01-15T00:03:30Z,32.5389,59.1002,14.2290,4.7955,36.5198,15.7207,125.8783,0.000215,79.4742,0
2024-01-15T00:03:40Z,37.3815,54.9409,16.5828,10.4735,37.3472,10.0412,136.6154,0.017190,80.4792,0
2024-01-15T00:03:50Z,42.1344,51.7800,16.9302,3.3754,37.3338,13.3496,136.5582,0.010356,95.0193,0
2024-01-15T00:04:00Z,34.0893,57.7493,15.0136,7.2239,12.2000,14.7967,125.2959,0.009952,82.7019,0
2024-01-15T00:04:10Z,39.2751,59.7925,10.8016,7.2003,43.4267,14.3495,107.9699,0.000000,51.4045,0
2024-01-15T00:04:20Z,44.6779,55.5553,13.6484,10.8105,43.9839,11.3968,125.0733,0.011578,68.7014,0
2024-01-15T00:04:30Z,34.1822,54.8854,13.0175,6.9588,35.3215,5.5028,123.1340,0.011249,74.5660,0
2024-01-15T00:04:40Z,35.4387,55.5547,15.5652,5.1773,39.0128,16.9189,111.6162,0.008315,85.9221,0
2024-01-15T00:04:50Z,35.6473,58.4184,12.8612,9.3398,30.8849,12.9359,125.8744,0.006168,109.9907,0
2024-01-15T00:05:00Z,42.4053,50.3964,15.5642,9.4680,51.1193,15.1428,129.3691,0.006602,73.6886,0
2024-01-15T00:05:10Z,33.5714,60.7476,8.8334,9.5390,24.6697,16.8408,124.3368,0.004294,110.1485,0
2024-01-15T00:05:20Z,41.5747,51.2217,14.4436,11.4997,52.6256,15.8223,126.3346,0.007247,86.7683,0
2024-01-15T00:05:30Z,30.5257,55.9659,12.9309,9.2958,40.7764,9.1687,139.5398,0.013958,77.4934,0
2024-01-15T00:05:40Z,24.2348,60.3542,8.0828,6.9322,55.8920,17.2768,133.0985,0.021546,79.3028,0
2024-01-15T00:05:50Z,38.0202,55.0319,12.4207,243.4912,34.0741,9.0465,130.6940,0.009767,103.5515,1
2024-01-15T00:06:00Z,43.2578,53.5951,16.0412,10.0083,57.0933,9.8670,111.5393,0.004843,102.8172,0
2024-01-15T00:06:10Z,43.2426,54.0740,12.6895,7.1719,30.3824,13.5853,135.9638,0.003978,97.1491,0
2024-01-15T00:06:20Z,31.0605,54.1262,16.2822,6.5279,43.4767,17.1022,115.2980,0.007261,58.9804,0
2024-01-15T00:06:30Z,38.3925,57.4895,7.6785,7.7416,28.3129,11.0666,136.7034,0.008379,75.4757,0
2024-01-15T00:06:40Z,36.1363,58.0111,15.5894,6.9413,62.0328,14.4689,109.2338,0.004495,49.9500,0
2024-01-15T00:06:50Z,38.6270,54.8637,12.1052,7.0871,42.6652,9.5790,102.8599,0.016657,55.9948,0
2024-01-15T00:07:00Z,37.5197,60.7716,13.8823,5.8924,23.2806,9.6351,126.3116,0.011848,61.9917,0
2024-01-15T00:07:10Z,37.1375,53.4035,19.5901,4.5624,45.1886,14.4639,115.8807,0.014529,70.9957,0
2024-01-15T00:07:20Z,39.3246,52.9718,15.0641,4.1722,37.6310,17.1260,115.1988,0.010357,57.9539,0
2024-01-15T00:07:30Z,38.7343,52.2329,20.4424,9.0002,42.2184,10.7183,126.4790,0.011162,95.1328,0
2024-01-15T00:07:40Z,34.0842,55.7303,16.4829,6.2766,42.3984,4.8063,143.1398,0.011262,64.8171,0
2024-01-15T00:07:50Z,33.2479,54.6156,17.8447,10.9538,30.4292,7.2536,118.8596,0.013292,49.5221,0
2024-01-15T00:08:00Z,35.0445,58.9470,11.5838,9.9118,43.8250,7.4036,134.8814,0.000542,98.4040,0
2024-01-15T00:08:10Z,35.1439,51.8269,12.5849,9.8284,44.2603,13.2730,118.1484,0.009716,93.3310,0
2024-01-15T00:08:20Z,30.5328,60.8090,13.6978,12.8381,26.6226,14.6940,106.5691,0.011542,114.9940,0
2024-01-15T00:08:30Z,39.8868,62.4006,18.1484,8.4862,40.5027,12.0979,142.0831,0.007330,72.3518,0
2024-01-15T00:08:40Z,45.0888,60.3666,12.7471,8.3354,32.5821,15.0037,138.5323,0.008202,81.5586,0
2024-01-15T00:08:50Z,33.0184,49.5060,11.7269,4.1170,31.9878,6.9362,139.8972,0.012136,99.0386,0
2024-01-15T00:09:00Z,36.3286,60.2214,13.5493,10.8788,44.8781,6.9714,120.4897,0.113213,58.3867,1
2024-01-15T00:09:10Z,34.4961,52.5475,16.6765,6.2663,43.0776,14.5860,116.2105,0.011782,87.6560,0
2024-01-15T00:09:20Z,31.9682,52.2461,19.5323,6.3294,25.4082,13.2277,115.8836,0.007579,80.9915,0
2024-01-15T00:09:30Z,47.7094,50.8598,16.5207,5.3108,34.9506,10.1903,133.3140,0.007375,95.4538,0
2024-01-15T00:09:40Z,35.8417,58.0591,9.9148,5.6599,30.9403,10.7578,126.0635,0.013464,64.1131,0
2024-01-15T00:09:50Z,39.6022,50.9642,15.7082,7.6466,40.4773,11.1620,133.2210,0.010311,102.1330,0
2024-01-15T00:10:00Z,31.7578,54.7465,18.7924,7.9465,34.7483,14.6468,120.9679,0.013393,77.6561,0
2024-01-15T00:10:10Z,31.8254,60.0406,13.6050,9.1765,52.2308,11.3364,136.7092,0.010432,59.8244,0
